"schemaVersion","questionRecordId","reviewerId","sourceGrounded","correctAnswerKey","answerableFromEvidence","clear","ambiguous","fairDifficulty","duplicate","languageQuality","explanationUseful","accept","disagreementReason","completedAt"
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r1:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r2:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-BN-PASTE-01:r3:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-BN-PASTE-01:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r1:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r2:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:SCI-EN-PDF-01:r3:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:SCI-EN-PDF-01:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r1:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:CIV-MIX-PDF-01:r2:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-EN-PASTE-01:r2:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-EN-PASTE-01:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r1:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:assessment:VOC-MIX-IMG-01:r2:q2","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q1","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q1","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q1","ADJ","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q2","R1","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q2","R2","","","","","","","","","","","",""
"human-question-annotation.v1","question:revision:VOC-MIX-IMG-01:q2","ADJ","","","","","","","","","","","",""
