"metric","count","denominator","percentage","status"
"extraction.page_success","12","12","100","measured"
"extraction.routing_accuracy","12","12","100","measured"
"extraction.material_correction_pages","2","12","16.67","measured"
"questions.deterministic_grounding","0","0","","not_applicable"
"questions.deterministic_key_validity","0","0","","not_applicable"
"questions.duplicates","0","0","","not_applicable"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","2","45","4.44","measured"
"reliability.final_valid","6","45","13.33","measured"
"reliability.repair_rate","18","45","40","measured"
"reliability.repair_success","4","18","22.22","measured"
"adaptive.valid","0","3","0","measured"
"baseline.parse_success","9","9","100","measured"
"baseline.evidence_transparency","42","42","100","measured"
