section,field,exact_count,denominator,exact_percentage,kappa,kappa_type,interpretation
question,question_grounded_in_permitted_source,58,60,96.67,0.4872,cohens_kappa,raw independent agreement before adjudication
question,answerable_from_source,58,60,96.67,0.4872,cohens_kappa,raw independent agreement before adjudication
question,clear,54,60,90.0,0.6897,cohens_kappa,raw independent agreement before adjudication
question,ambiguous,54,60,90.0,0.6897,cohens_kappa,raw independent agreement before adjudication
question,fair_difficulty,55,60,91.67,0.75,cohens_kappa,raw independent agreement before adjudication
question,materially_duplicate,52,60,86.67,0.6364,cohens_kappa,raw independent agreement before adjudication
question,question_text_accept_or_reject,55,60,91.67,0.8201,cohens_kappa,raw independent agreement before adjudication
question,language_quality,43,60,71.67,0.6517,quadratic_weighted_kappa,raw independent agreement before adjudication
question,proposed_answer_or_key_correct,53,60,88.33,0.7009,cohens_kappa,raw independent agreement before adjudication
question,proposed_answer_or_key_grounded,53,60,88.33,0.6008,cohens_kappa,raw independent agreement before adjudication
question,final_accept_or_reject,55,60,91.67,0.8,cohens_kappa,raw independent agreement before adjudication
question,explanation_or_evidence_usefulness,40,60,66.67,0.8187,quadratic_weighted_kappa,raw independent agreement before adjudication
question,overall_acceptance,57,60,95.0,0.9,cohens_kappa,derived Pass A AND Pass B acceptance
question,all_12_fields_exact,28,60,46.67,,,all reviewed fields exactly matched
source,full_source_verification,9,9,100.0,,,all source verification fields matched
