record_id,material_id,pipeline,question_stage,question_type,pass_a_accepted,pass_b_accepted,overall_accepted,source_grounded,answerable,clear,ambiguous,fair_difficulty,within_pipeline_duplicate,language_quality,answer_or_key_correct,answer_or_key_grounded,explanation_usefulness,primary_failures
baseline-question:CIV-BN-IMG-01:q1,CIV-BN-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-BN-IMG-01:q2,CIV-BN-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-BN-IMG-01:q3,CIV-BN-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-BN-IMG-01:q4,CIV-BN-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-BN-IMG-01:q5,CIV-BN-IMG-01,one_prompt_baseline,baseline,open_answer,reject,accept,reject,yes,yes,no,yes,yes,no,4,yes,yes,5,unclear;ambiguous
baseline-question:CIV-MIX-PDF-01:q1,CIV-MIX-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-MIX-PDF-01:q2,CIV-MIX-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-MIX-PDF-01:q3,CIV-MIX-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-MIX-PDF-01:q4,CIV-MIX-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:CIV-MIX-PDF-01:q5,CIV-MIX-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-BN-PASTE-01:q1,SCI-BN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-BN-PASTE-01:q2,SCI-BN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-BN-PASTE-01:q3,SCI-BN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-BN-PASTE-01:q4,SCI-BN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-BN-PASTE-01:q5,SCI-BN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-EN-PDF-01:q1,SCI-EN-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-EN-PDF-01:q2,SCI-EN-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-EN-PDF-01:q3,SCI-EN-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:SCI-EN-PDF-01:q4,SCI-EN-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,4,none
baseline-question:SCI-EN-PDF-01:q5,SCI-EN-PDF-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-EN-PASTE-01:q1,VOC-EN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,4,none
baseline-question:VOC-EN-PASTE-01:q2,VOC-EN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-EN-PASTE-01:q3,VOC-EN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-EN-PASTE-01:q4,VOC-EN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-EN-PASTE-01:q5,VOC-EN-PASTE-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-MIX-IMG-01:q1,VOC-MIX-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
