metric,ankur_count,ankur_denominator,ankur_percentage,baseline_count,baseline_denominator,baseline_percentage,ankur_minus_baseline_percentage_points,interpretation
source_grounded,27,30,90.0,30,30,100.0,-10.0,higher_is_better
answerable,27,30,90.0,30,30,100.0,-10.0,higher_is_better
clear,17,30,56.67,29,30,96.67,-40.0,higher_is_better
ambiguous,13,30,43.33,1,30,3.33,40.0,lower_is_better
fair_difficulty,16,30,53.33,30,30,100.0,-46.67,higher_is_better
within_pipeline_duplicates,18,30,60.0,0,30,0.0,60.0,lower_is_better
pass_a_accepted,7,30,23.33,29,30,96.67,-73.34,higher_is_better
answer_or_key_correct,11,30,36.67,30,30,100.0,-63.33,higher_is_better
answer_or_key_grounded,16,30,53.33,30,30,100.0,-46.67,higher_is_better
pass_b_accepted,10,30,33.33,30,30,100.0,-66.67,higher_is_better
overall_accepted,1,30,3.33,29,30,96.67,-93.34,higher_is_better
grounded_overall_accepted,1,30,3.33,29,30,96.67,-93.34,higher_is_better
language_quality_at_least_4,14,30,46.67,30,30,100.0,-53.33,higher_is_better
explanation_usefulness_at_least_4,18,30,60.0,30,30,100.0,-40.0,higher_is_better
language_quality_mean,,,3.3,,,4.967,-1.667,higher_is_better
explanation_usefulness_mean,,,3.367,,,4.9,-1.533,higher_is_better
