"metric","count","denominator","percentage","status"
"extraction.page_success","12","12","100","measured"
"extraction.routing_accuracy","12","12","100","measured"
"extraction.material_correction_pages","2","12","16.67","measured"
"questions.deterministic_grounding","46","46","100","measured"
"questions.deterministic_key_validity","46","46","100","measured"
"questions.duplicates","6","46","13.04","measured"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","31","45","68.89","measured"
"reliability.final_valid","38","45","84.44","measured"
"reliability.repair_rate","10","45","22.22","measured"
"reliability.repair_success","7","10","70","measured"
"adaptive.valid","6","9","66.67","measured"
"baseline.parse_success","9","9","100","measured"
"baseline.evidence_transparency","42","42","100","measured"
